"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"cns18963","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-04-10","San Benito","high","36.479661","-121.22176","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18280","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-04-17","San Benito","high","36.486605","-121.183078","Condor Gulch","","Amsinckia menziesii var. intermedia","",""
"cns18282","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-04-24","Monterey","high","36.426457","-121.188541","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18781","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-01","Monterey","high","36.485031","-121.231303","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18784","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-07","Monterey","high","36.409388","-121.178109","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18969","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-14","San Benito","high","36.552665","-121.219999","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18970","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-14","San Benito","high","36.549345","-121.216779","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18975","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-09","San Benito","high","36.498912","-121.186832","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18976","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-09","San Benito","high","36.499052","-121.186003","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18977","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-09","San Benito","high","36.500263","-121.185595","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18978","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-10","San Benito","high","36.457199","-121.154117","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18255","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-10","San Benito","high","36.458337","-121.154882","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18980","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-11","San Benito","high","36.473133","-121.153415","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18982","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-06-23","San Benito","high","36.486906","-121.170926","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18985","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-07-02","San Benito","high","36.491968","-121.171879","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18909","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-07-09","San Benito","high","36.475764","-121.155083","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18712","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-07-22","San Benito","high","36.505458","-121.155796","McCabe Canyon","","Amsinckia menziesii var. intermedia","",""
"cns19003","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-10","San Benito","high","36.502935","-121.218157","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns19004","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-17","San Benito","high","36.462135","-121.186227","Frog Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18775","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-17","San Benito","high","36.461716","-121.185958","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18776","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-17","San Benito","high","36.462437","-121.182951","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18777","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-09","San Benito","high","36.500739","-121.230466","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns19005","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-23","San Benito","high","36.500509","-121.188157","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns19006","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-23","San Benito","high","36.500267","-121.188788","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns19007","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-23","San Benito","high","36.500477","-121.188973","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns19008","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-25","San Benito","high","36.462734","-121.182374","Pinnacles","","Amsinckia menziesii var. intermedia","",""
