"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"mg233437","Phacelia ciliata","Ryan O'Dell","","2024-03-07","Fresno","high","36.209642","-120.28587","","71","Phacelia ciliata","",""
"mg269530","Phacelia ciliata","Ryan O'Dell","","2025-04-02","Fresno","high","36.006799","-120.279763","","45","Phacelia ciliata","",""
"mg54166","Phacelia ciliata","Cynthia Powell","","2017-10-25","Riverside","high","33.841781","-116.560423","","530","Phacelia ciliata","",""
"mu32636","Phacelia ciliata","Sue Luft","","2023-04-04","San Luis Obispo","high","35.1921","-119.8367","857255R7+R8","","Phacelia ciliata","",""
"mu40997","Phacelia ciliata","Kyle Suchy","","2024-04-12","San Luis Obispo","high","35.3077","-119.9575","Belmont Trail, Santa Margarita, CA 93453, USA","7854","Phacelia ciliata","",""
"mu41033","Phacelia ciliata","Kyle Suchy","","2024-04-12","San Luis Obispo","high","35.2214","-119.9501","857262CX+HX","7854","Phacelia ciliata","",""
"mu9834","Phacelia ciliata","Steve Matson","","2016-03-19","Kern","high","34.8671","-118.6268","Unnamed Road, Lancaster, CA 93536, USA","","Phacelia ciliata","",""
"oe1601","Phacelia ciliata","Mike Loomis","","2010-04-17","Kern","high","34.911273","-119.395637","Cerro Noroeste Rd., 2 miles south of Hwy. 33","1000","Phacelia ciliata","Flowering","F"
"oe1841","Phacelia ciliata","Mike Loomis","","2010-04-18","San Luis Obispo","high","35.319642","-120.002117","Carrizo Plain, Soda Lake Rd. near California Valley Airport","1000","Phacelia ciliata","Flowering","F"
"oe2894","Phacelia ciliata","Mike Loomis","","2010-04-04","San Luis Obispo","high","35.236996","-119.849681","Carrizo Plain National Monument, on San Diego Creek Rd. at Soda Lake.","1000","Phacelia ciliata","Flowering","F"
"po10244","Phacelia ciliata","Anita Gould","","2003-04-15","Kern","high","34.819088","-118.643803","Antelope Valley, 290th St. W & West Ave. A","7854","Phacelia ciliata","",""
"po10914","Phacelia ciliata","Chris Leslie","","2015-03-14","San Luis Obispo","high","35.007986","-119.515559","San Luis Obispo County: Carrizo Plain National Monument","10000","Phacelia ciliata","",""
"po225994","Phacelia ciliata","Ryan O'Dell","","2022-03-03","Kern","high","35.620673","-119.644377","","","Phacelia ciliata","",""
"po225995","Phacelia ciliata","Ryan O'Dell","","2022-03-03","Kern","high","35.621743","-119.644366","","","Phacelia ciliata","",""
"po225996","Phacelia ciliata","Ryan O'Dell","","2022-03-03","Kern","high","35.622552","-119.644441","","","Phacelia ciliata","",""
"po225997","Phacelia ciliata","Ryan O'Dell","","2022-03-03","Kern","high","35.621068","-119.645306","","","Phacelia ciliata","",""
"po225998","Phacelia ciliata","Ryan O'Dell","","2022-03-03","Kern","high","35.622162","-119.645381","","","Phacelia ciliata","",""
"po225999","Phacelia ciliata","Ryan O'Dell","","2022-03-03","Kern","high","35.6213","-119.643937","","","Phacelia ciliata","",""
